EthiopianMonth,EthMonNum,EthYear,RegionName,ZoneName,WoredaName,DeliveredPrivateClinics,DeliveredPublicClinics,DeliveredOther,DeliveredTotal
Nehase,12th,2009,Oromia,Guji,Liben,33,85,80,198
Nehase,12th,2009,Oromia,West Guji,Bule Hora Toun,5,38,15,58
Ginbot,9th,2009,Oromia,East Shewa,Liben,56,57,61,174
Meskerem,1st,2011,Oromia,Borena,Dilo,79,92,81,252
Ginbot,9th,2011,Oromia,West Shewa,Bako Hospital,93,25,93,211
Megabit,7th,2009,Oromia,Arsi,Amigna,33,35,87,155
Sene,10th,2011,Oromia,Holeta Town,Holeta Town,49,32,53,134
Nehase,12th,2009,Oromia,West Shewa,Ginde Beret,69,6,51,126
Miyazia,8th,2011,Oromia,Finfine Zuria,Sululta Town,26,96,36,158
Sene,10th,2010,Oromia,East Hararge,Haromaya Rural,73,20,75,168
Hedar,3rd,2011,Oromia,East Hararge,Meyu Muleke,6,89,13,108
Sene,10th,2009,Oromia,Jimma,Seka Chekorsa,24,13,72,109
Nehase,12th,2010,Oromia,Guji,Goro Dola,64,14,70,148
Tir,5th,2010,Oromia,Horo Gudru Wellega,Amuru,43,57,14,114
Megabit,7th,2009,Oromia,Sululta Town,Sululta Town,68,0,54,122
Miyazia,8th,2009,Oromia,East Wellega,Sasiga,84,79,87,250
Tahesas,4th,2011,Oromia,Guji,Dima,18,13,10,41
Ginbot,9th,2009,Oromia,Jimma,Chora Boter,27,36,43,106
Sene,10th,2010,Oromia,West Arsi,Dodola Rural,54,67,86,207
Teqemt,2nd,2011,Oromia,Borena,Guchi,62,19,85,166
Miyazia,8th,2009,Oromia,West Shewa,Liban Jawi,55,91,94,240
Ginbot,9th,2011,Oromia,Guji,Aga Wayyu,22,63,9,94
Megabit,7th,2009,Oromia,West Arsi,Nensebo,35,36,37,108
Hedar,3rd,2010,Oromia,West Wellega,Lalo Asabi,73,19,21,113
Hedar,3rd,2010,Oromia,North Shewa,Yaya Gulele,9,7,75,91
Sene,10th,2010,Oromia,Borena,Yabelo Rural,80,23,97,200
Hedar,3rd,2011,Oromia,Jimma,Limu Seka,54,28,34,116
Meskerem,1st,2011,Oromia,Jimma,Setema,91,21,17,129
Ginbot,9th,2010,Oromia,West Arsi,Arsi Negele Town,50,29,10,89
Megabit,7th,2011,Oromia,Jimma,Seka Chekorsa,76,55,0,131
Nehase,12th,2010,Oromia,West Hararge,Chiro Town,21,17,22,60
Teqemt,2nd,2011,Oromia,West Shewa,Bako Tibe,81,35,89,205
Sene,10th,2010,Oromia,West Arsi,Adaba,78,90,89,257
Tahesas,4th,2010,Oromia,West Hararge,Boke,95,99,96,290
Ginbot,9th,2010,Oromia,Finfine Zuria,Walmera,78,25,37,140
Teqemt,2nd,2010,Oromia,West Arsi,Arsi Negele Town,41,8,73,122
Yekatit,6th,2010,Oromia,East Wellega,Gida Ayana,22,91,91,204
Nehase,12th,2009,Oromia,East Hararge,Melka Belo,12,83,78,173
Yekatit,6th,2010,Oromia,Jimma,Sigmo,36,7,67,110
Tir,5th,2009,Oromia,Finfine Zuria,Holeta,22,61,13,96
Tahesas,4th,2010,Oromia,West Hararge,Chiro Zuriya,22,3,34,59
Sene,10th,2010,Oromia,East Hararge,Midega Tole,42,24,63,129
Tahesas,4th,2010,Oromia,Guji,Bore,37,94,34,165
Teqemt,2nd,2010,Oromia,North Shewa,Dera Hospital,77,64,11,152
Tahesas,4th,2011,Oromia,West Guji,Bule Hora Toun,39,1,4,44
Hedar,3rd,2011,Oromia,Borena,Moyale,41,83,4,128
Yekatit,6th,2010,Oromia,Woliso Town,Woliso Town,15,20,61,96
Yekatit,6th,2009,Oromia,West Wellega,Boji Dermeji,34,10,11,55
Teqemt,2nd,2010,Oromia,West Wellega,Boji Cheqorsa,4,72,83,159
Miyazia,8th,2009,Oromia,West Hararge,Oda Bultum,94,85,3,182
Miyazia,8th,2011,Oromia,Holeta Town,Holeta Town,73,86,7,166
Tir,5th,2009,Oromia,West Hararge,Chiro Town,73,70,2,145
Ginbot,9th,2009,Oromia,West Wellega,Mene Sibu,8,69,92,169
Miyazia,8th,2009,Oromia,West Shewa,Adea Berga,43,34,39,116
Hamle,11th,2009,Oromia,East Hararge,Kurfa Chele,12,64,82,158
Tir,5th,2011,Oromia,West Wellega,Yubdo,62,72,52,186
Ginbot,9th,2010,Oromia,Arsi,Hitosa,12,84,66,162
Hamle,11th,2010,Oromia,West Wellega,Nejo Hospital,84,9,70,163
Sene,10th,2011,Oromia,Buno Bedele,Bedele Zuriya,55,70,48,173
Tahesas,4th,2010,Oromia,Guji,Uraga,56,75,26,157
Tahesas,4th,2011,Oromia,Arsi,Bekoji Town,91,91,72,254
Tahesas,4th,2011,Oromia,West Hararge,Chiro Town,60,5,14,79
Miyazia,8th,2011,Oromia,Guji,Dima,97,42,70,209
Tir,5th,2010,Oromia,East Hararge,Deder Town,33,61,79,173
Miyazia,8th,2010,Oromia,West Hararge,Mesela,28,22,67,117
Ginbot,9th,2009,Oromia,North Shewa,Fichetown,66,83,24,173
Yekatit,6th,2011,Oromia,West Wellega,Genji,13,25,1,39
Hamle,11th,2010,Oromia,Bale,Gololcha,42,82,10,134
Hamle,11th,2009,Oromia,West Wellega,Boji Dermeji,52,59,32,143
Megabit,7th,2011,Oromia,East Hararge,Fedis,25,93,69,187
Ginbot,9th,2011,Oromia,West Shewa,Jeldu,67,90,21,178
Sene,10th,2009,Oromia,North Shewa,Degem,27,10,4,41
Megabit,7th,2010,Oromia,Arsi,Limuna Bilbilo,29,22,42,93
Sene,10th,2009,Oromia,West Shewa,Bako Tibe,43,30,24,97
Hedar,3rd,2011,Oromia,West Wellega,Haru,63,81,21,165
Hedar,3rd,2011,Oromia,West Hararge,Burka Dimtu,76,26,8,110
Nehase,12th,2009,Oromia,Arsi,Munesa,20,11,68,99
Megabit,7th,2009,Oromia,North Shewa,Kuyu,6,74,28,108
Sene,10th,2010,Oromia,Bale,Dawe Qachen,36,64,26,126
Miyazia,8th,2011,Oromia,West Wellega,Gimbi Rural,44,76,28,148
Ginbot,9th,2009,Oromia,East Hararge,Deder Town,54,31,75,160
Hamle,11th,2010,Oromia,East Hararge,Haromaya Town,87,69,40,196
Miyazia,8th,2009,Oromia,Buno Bedele,Chora,11,94,26,131
Megabit,7th,2009,Oromia,Horo Gudru Wellega,Jarte Jardga,64,91,9,164
Tahesas,4th,2011,Oromia,Arsi,Gololcha,35,23,12,70
Hamle,11th,2009,Oromia,Horo Gudru Wellega,Jima Geneti,39,13,97,149
Megabit,7th,2010,Oromia,Horo Gudru Wellega,Shambu Town,38,89,79,206
Hedar,3rd,2011,Oromia,West Hararge,Guba Qoricha,8,5,78,91
Ginbot,9th,2010,Oromia,Borena,Yabelo Rural,24,16,45,85
Miyazia,8th,2009,Oromia,Arsi,Shirka,76,91,16,183
Meskerem,1st,2011,Oromia,Dukem Town,Dukem Town,7,97,97,201
Megabit,7th,2010,Oromia,Arsi,Aseko,83,66,23,172
Hedar,3rd,2010,Oromia,Borena,Moyale,30,4,30,64
Megabit,7th,2009,Oromia,East Hararge,Haromaya Hospital,0,83,22,105
Tir,5th,2009,Oromia,North Shewa,Wuchale,32,25,37,94
Teqemt,2nd,2011,Oromia,West Arsi,Gedeb Asasa,38,47,67,152
Nehase,12th,2009,Oromia,Arsi,Sire,30,30,68,128
Tahesas,4th,2010,Oromia,West Shewa,Ejerie,86,19,87,192
Meskerem,1st,2011,Oromia,Adama Special Town,Adama Town,5,65,45,115
Yekatit,6th,2010,Oromia,Guji,Shakiso Town,28,78,0,106
Tir,5th,2011,Oromia,Bale,Dawe Qachen,62,49,63,174
Megabit,7th,2010,Oromia,West Hararge,Tulo,89,37,4,130
Teqemt,2nd,2010,Oromia,Arsi,Digeluna Tijo,16,88,69,173
Nehase,12th,2010,Oromia,Horo Gudru Wellega,Horo,37,79,70,186
Teqemt,2nd,2010,Oromia,Bale,Ginir,88,93,86,267
Nehase,12th,2009,Oromia,West Arsi,Arsi Negele Town,43,44,84,171
Hamle,11th,2010,Oromia,South West Shewa,Tole,2,29,94,125
Ginbot,9th,2010,Oromia,Arsi,Hitosa,9,36,23,68
Megabit,7th,2010,Oromia,North Shewa,Fiche Hospital,7,49,89,145
Ginbot,9th,2009,Oromia,Ilu Aba Bora,Doreni,76,31,1,108
Meskerem,1st,2010,Oromia,West Hararge,Boke,6,32,83,121
Ginbot,9th,2010,Oromia,Borena,Arero,90,76,49,215
Meskerem,1st,2011,Oromia,Bale,Dawe Qachen,21,31,52,104
Nehase,12th,2009,Oromia,Arsi,Gololcha,51,28,66,145
Hamle,11th,2010,Oromia,North Shewa,Dera Hospital,65,2,31,98
Ginbot,9th,2011,Oromia,Arsi,Digeluna Tijo,32,77,54,163
Yekatit,6th,2010,Oromia,Finfine Zuria,Sululta Town,87,42,4,133
Tahesas,4th,2011,Oromia,Arsi,Sire,44,76,5,125
Tir,5th,2011,Oromia,West Wellega,Seyo Nole,63,83,72,218
Hamle,11th,2009,Oromia,Guji,Uraga,73,35,20,128
Miyazia,8th,2010,Oromia,West Arsi,Dodola  Hospital,87,13,12,112
Ginbot,9th,2011,Oromia,West Arsi,Dodola Town,56,46,54,156
Ginbot,9th,2009,Oromia,Qeleme Wellega,Anfilo,22,33,18,73
Hedar,3rd,2010,Oromia,Arsi,Gololcha,81,64,11,156
Meskerem,1st,2011,Oromia,North Shewa,Dera,48,84,95,227
Hamle,11th,2010,Oromia,Arsi,Zeway Dugda,45,89,32,166
Megabit,7th,2011,Oromia,West Wellega,Nole Kaba,84,17,49,150
Yekatit,6th,2010,Oromia,North Shewa,Abichugna,91,34,80,205
Hedar,3rd,2011,Oromia,Guji,Adola Town,8,81,15,104
Meskerem,1st,2010,Oromia,West Wellega,Begi,68,47,7,122
Hamle,11th,2009,Oromia,Ilu Aba Bora,Metu Town,34,28,80,142
Teqemt,2nd,2011,Oromia,Horo Gudru Wellega,Horro Buluk,51,79,3,133
Megabit,7th,2009,Oromia,East Wellega,Boneya Bushe,43,44,29,116
Megabit,7th,2009,Oromia,West Shewa,Ambo Hospital,57,34,77,168
Sene,10th,2009,Oromia,West Wellega,Haru,42,6,48,96
Tir,5th,2009,Oromia,Arsi,Bekoji Town,15,72,44,131
Ginbot,9th,2010,Oromia,Jimma,Guma,24,47,28,99
Nehase,12th,2010,Oromia,Borena,Yabelo,16,30,31,77
Tir,5th,2010,Oromia,Arsi,Guna,53,80,66,199
Sene,10th,2009,Oromia,Jimma,Dedo,57,4,39,100
Meskerem,1st,2010,Oromia,Bale,Gololcha,16,24,17,57
Nehase,12th,2009,Oromia,Borena,Dilo,25,98,35,158
Sene,10th,2011,Oromia,West Shewa,Gindeberet Hospital,91,44,12,147
Sene,10th,2011,Oromia,West Arsi,Dodola Rural,80,65,49,194
Nehase,12th,2010,Oromia,Horo Gudru Wellega,Hababo Guduru,16,85,37,138
Miyazia,8th,2011,Oromia,Gelan Town,Gelan Town,3,15,37,55
Ginbot,9th,2009,Oromia,East Hararge,Deder Hospital,15,25,63,103
Tir,5th,2010,Oromia,Arsi,Sire,31,68,40,139
Hedar,3rd,2011,Oromia,South West Shewa,Goro,24,93,24,141
Tir,5th,2009,Oromia,Arsi,Deksis,34,20,80,134
Ginbot,9th,2010,Oromia,Guji,Saba Boru,53,70,52,175
Yekatit,6th,2009,Oromia,West Wellega,Babo Gembel,27,85,98,210
Yekatit,6th,2009,Oromia,South West Shewa,Wonchi,55,10,92,157
Meskerem,1st,2010,Oromia,West Shewa,Tikur Enchini,89,26,67,182
Tir,5th,2011,Oromia,North Shewa,Debre Libanos,51,48,59,158
Tir,5th,2009,Oromia,Finfine Zuria,Sululta Town,92,6,5,103
Sene,10th,2010,Oromia,West Shewa,Tikur Enchini,30,67,64,161
Ginbot,9th,2011,Oromia,East Hararge,Kumbi,44,7,31,82
Sene,10th,2011,Oromia,East Hararge,Haromaya Rural,12,41,99,152
Tahesas,4th,2010,Oromia,West Wellega,Gimbi Adventist Hospital,69,64,23,156
Teqemt,2nd,2011,Oromia,East Shewa,Adea,33,92,78,203
Yekatit,6th,2011,Oromia,West Wellega,Guliso,58,75,31,164
Tir,5th,2011,Oromia,West Shewa,Ejerie,54,5,37,96
Miyazia,8th,2010,Oromia,Jimma,Nono Benja,44,99,42,185
Megabit,7th,2009,Oromia,Guji,Saba Boru,63,6,22,91
Yekatit,6th,2009,Oromia,East Shewa,Olanciti Hospital,89,49,44,182
Ginbot,9th,2010,Oromia,Ilu Aba Bora,Yayu,75,50,15,140
Hamle,11th,2010,Oromia,Horo Gudru Wellega,Shambu Town,68,36,33,137
Hamle,11th,2009,Oromia,Guji,Girja,95,2,40,137
Tir,5th,2010,Oromia,West Shewa,Tibe Kutaye,73,14,76,163
Yekatit,6th,2010,Oromia,Qeleme Wellega,Hawa Gelan,70,57,63,190
Megabit,7th,2011,Oromia,West Wellega,Kundala,61,30,60,151
Tir,5th,2011,Oromia,East Wellega,Kiremu,57,80,76,213
Sene,10th,2009,Oromia,Bale,Dawe Qachen,56,12,95,163
Ginbot,9th,2011,Oromia,West Wellega,Jarso,53,12,0,65
Megabit,7th,2009,Oromia,West Guji,Gelana,63,22,58,143
Nehase,12th,2010,Oromia,Buno Bedele,Bedele Hospital,22,2,9,33
Tahesas,4th,2011,Oromia,East Hararge,Kombolicha,4,87,15,106
Ginbot,9th,2009,Oromia,Bale,Sinana,76,0,41,117
Yekatit,6th,2009,Oromia,Adama Special Town,Adama Town,65,17,99,181
Ginbot,9th,2010,Oromia,Guji,Adola Town,80,75,24,179
Yekatit,6th,2011,Oromia,West Hararge,West Harerge	Gumbi Bordede,41,12,82,135
Nehase,12th,2010,Oromia,Buno Bedele,Gechi,44,8,62,114
Ginbot,9th,2009,Oromia,North Shewa,Aleiltu,78,87,32,197
Megabit,7th,2010,Oromia,Bale,Goba,12,68,68,148
Nehase,12th,2009,Oromia,West Shewa,Dendi,83,95,71,249
Miyazia,8th,2009,Oromia,East Hararge,Meta,88,50,80,218
Miyazia,8th,2010,Oromia,West Guji,Kercha Hospital,69,33,0,102
Hamle,11th,2010,Oromia,Arsi,Tena,15,67,5,87
Miyazia,8th,2009,Oromia,East Hararge,Meyu Muleke,9,19,79,107
Ginbot,9th,2011,Oromia,North Shewa,Wuchale,93,78,97,268
Yekatit,6th,2009,Oromia,Guji,Wadara,2,87,7,96
Yekatit,6th,2010,Oromia,Arsi,Dodota,64,79,24,167
Meskerem,1st,2010,Oromia,East Hararge,Babile,19,57,20,96
Miyazia,8th,2009,Oromia,West Wellega,Nejo Town,16,11,63,90
Sene,10th,2011,Oromia,West Shewa,Bako Hospital,44,43,47,134
Hedar,3rd,2010,Oromia,Arsi,Shirka,33,25,8,66
Sene,10th,2010,Oromia,Borena,Dubluk,16,13,29,58
Tahesas,4th,2011,Oromia,East Wellega,Haro Limu,78,4,67,149
Megabit,7th,2009,Oromia,Arsi,Guna,40,17,19,76
Hedar,3rd,2010,Oromia,South West Shewa,Sodo Dac'Ha,60,73,0,133
Ginbot,9th,2011,Oromia,Guji,Wadara,54,70,94,218
Megabit,7th,2009,Oromia,Bale,Gasera,72,73,17,162
Megabit,7th,2011,Oromia,West Wellega,Genji,59,39,79,177
Tir,5th,2011,Oromia,Ilu Aba Bora,Metu Rural,64,93,6,163
Hamle,11th,2009,Oromia,West Hararge,Meiso,13,51,25,89
Yekatit,6th,2010,Oromia,West Hararge,Daro Lebu,71,56,14,141
Sene,10th,2011,Oromia,Arsi,Chole,40,10,61,111
Yekatit,6th,2010,Oromia,South West Shewa,Seden Sodo,61,14,60,135
Miyazia,8th,2011,Oromia,West Shewa,Abuna Gindeberet,60,51,45,156
Nehase,12th,2010,Oromia,Jimma,Kersa,91,77,85,253
Megabit,7th,2010,Oromia,Ilu Aba Bora,Halu,8,94,77,179
Ginbot,9th,2011,Oromia,Ilu Aba Bora,Ale,52,21,66,139
Meskerem,1st,2010,Oromia,West Shewa,Jibat,15,15,57,87
Nehase,12th,2009,Oromia,South West Shewa,Dawo,45,10,85,140
Tir,5th,2011,Oromia,Ilu Aba Bora,Bure,91,0,1,92
Ginbot,9th,2011,Oromia,Guji,Aga Wayyu,82,90,67,239
Yekatit,6th,2011,Oromia,Arsi,Tena,98,85,16,199
Ginbot,9th,2009,Oromia,Jimma,Guma,26,98,81,205
Meskerem,1st,2010,Oromia,West Guji,Dugda Dawa,22,30,58,110
Tahesas,4th,2010,Oromia,Arsi,Chole,34,32,65,131
Nehase,12th,2010,Oromia,West Wellega,Lata Sibu,62,68,64,194
Sene,10th,2011,Oromia,Jimma,Dedo,55,61,0,116
Meskerem,1st,2010,Oromia,South West Shewa,Seden Sodo,36,93,67,196
Hedar,3rd,2011,Oromia,West Hararge,Bedesa Town,15,23,3,41
Sene,10th,2010,Oromia,North Shewa,Abichugna,27,72,39,138
Megabit,7th,2009,Oromia,East Wellega,Limu,49,49,74,172
Tir,5th,2011,Oromia,West Shewa,Meta Waliqite,48,80,97,225
Megabit,7th,2011,Oromia,West Arsi,Hebal Arsi,27,2,67,96
Tahesas,4th,2011,Oromia,South West Shewa,Woliso Rural,86,94,21,201
Miyazia,8th,2011,Oromia,West Shewa,Ambo Hospital,1,86,85,172
Miyazia,8th,2009,Oromia,West Arsi,Hebal Arsi,24,76,16,116
Hamle,11th,2010,Oromia,Jimma,O/Beyam,68,21,68,157
Tir,5th,2010,Oromia,North Shewa,Debre Libanos,32,78,3,113
Teqemt,2nd,2010,Oromia,East Wellega,Gida Ayana,57,58,8,123
Meskerem,1st,2011,Oromia,East Hararge,Kurfa Chele,68,8,45,121
Meskerem,1st,2010,Oromia,Bale,Raitu,15,62,73,150
Megabit,7th,2011,Oromia,West Shewa,Nono,8,72,72,152
Tir,5th,2011,Oromia,Borena,Wachile,40,35,71,146
Miyazia,8th,2011,Oromia,West Arsi,Bishan Guracha Town,94,81,64,239
Nehase,12th,2009,Oromia,Bale,Raitu,62,65,15,142
Nehase,12th,2010,Oromia,West Wellega,Nole Kaba,70,0,73,143
Miyazia,8th,2011,Oromia,East Shewa,Fentale,32,72,12,116
Ginbot,9th,2009,Oromia,East Hararge,Deder,14,36,86,136
Tir,5th,2009,Oromia,West Wellega,Nejo Hospital,74,19,5,98
Megabit,7th,2009,Oromia,West Shewa,Dano,44,83,24,151
Tir,5th,2011,Oromia,Arsi,Bale Gesgara,9,58,75,142
Hamle,11th,2009,Oromia,West Guji,Bule Hora Hospital,16,76,11,103
Hedar,3rd,2011,Oromia,West Shewa,Inchini Hospital,41,80,41,162
Megabit,7th,2010,Oromia,Jimma,Seka Chekorsa,87,70,83,240
Yekatit,6th,2009,Oromia,Borena,Dilo,84,57,86,227
Miyazia,8th,2010,Oromia,East Shewa,Bora,75,82,81,238
Teqemt,2nd,2011,Oromia,Guji,Wadara,52,21,18,91
Nehase,12th,2009,Oromia,Qeleme Wellega,Laloqile,50,77,89,216
Ginbot,9th,2011,Oromia,Horo Gudru Wellega,Jima Geneti,8,51,36,95
Ginbot,9th,2011,Oromia,West Wellega,Guliso,86,99,30,215
Ginbot,9th,2009,Oromia,West Shewa,Tibe Kutaye,86,63,45,194
Megabit,7th,2009,Oromia,North Shewa,Yaya Gulele,21,91,26,138
Miyazia,8th,2009,Oromia,Borena,Meyo,33,11,33,77
Hedar,3rd,2010,Oromia,West Shewa,Tikur Enchini,15,12,18,45
Ginbot,9th,2009,Oromia,Finfine Zuria,Akaki,96,61,36,193
Yekatit,6th,2011,Oromia,Bale,Arena Buluq,27,39,15,81
Nehase,12th,2010,Oromia,West Hararge,Boke,18,66,91,175
Yekatit,6th,2011,Oromia,Bale,Goba,59,60,22,141
Hedar,3rd,2010,Oromia,East Wellega,Gudeyabila,27,26,15,68
Hedar,3rd,2010,Oromia,Borena,Dilo,32,25,18,75
Ginbot,9th,2011,Oromia,Jimma,Guma,40,40,3,83
Teqemt,2nd,2010,Oromia,Ilu Aba Bora,Bilonopa,26,65,16,107
Tahesas,4th,2010,Oromia,West Shewa,Jibat,81,60,70,211
Ginbot,9th,2009,Oromia,West Wellega,Mendi Town,93,74,98,265
Megabit,7th,2011,Oromia,West Shewa,Bako Tibe,39,71,29,139
Nehase,12th,2010,Oromia,Arsi,Limuna Bilbilo,4,46,65,115
Miyazia,8th,2009,Oromia,East Shewa,Boset,14,72,99,185
Miyazia,8th,2011,Oromia,Borena,Dhas,82,82,95,259
Tir,5th,2011,Oromia,West Shewa,Abuna Gindeberet,4,43,53,100
Yekatit,6th,2011,Oromia,East Hararge,Gursum,98,37,80,215
Megabit,7th,2009,Oromia,Lege Dadi Lege Tafo Town,Lege Dadi Lege Tafo Town,82,0,42,124
Teqemt,2nd,2010,Oromia,Jimma,Sigmo,72,29,85,186
Tir,5th,2011,Oromia,West Shewa,Dano,32,2,65,99
Hedar,3rd,2010,Oromia,Ilu Aba Bora,Hurumu,39,88,16,143
Miyazia,8th,2011,Oromia,West Wellega,Mendi Hospital,78,78,54,210
Hedar,3rd,2010,Oromia,Modjo Town,Modjo Town,34,58,80,172
Miyazia,8th,2011,Oromia,West Guji,Mkelka Soda,98,40,9,147
Megabit,7th,2009,Oromia,West Shewa,Adea Berga,71,57,77,205
Nehase,12th,2010,Oromia,West Guji,Mkelka Soda,46,11,38,95
Ginbot,9th,2011,Oromia,Borena,Moyale Hospital,22,48,40,110
Tir,5th,2009,Oromia,Horo Gudru Wellega,Jarte Jardga,88,99,26,213
Yekatit,6th,2011,Oromia,Qeleme Wellega,Yemalogi Wolel,90,35,23,148
Sene,10th,2010,Oromia,West Wellega,Gimbi Adventist Hospital,4,20,82,106
Hedar,3rd,2010,Oromia,North Shewa,Abichugna,73,75,75,223
Hamle,11th,2010,Oromia,Guji,Bore,93,10,18,121
Yekatit,6th,2010,Oromia,Arsi,Munesa,20,62,8,90
Ginbot,9th,2011,Oromia,West Arsi,Dodola Rural,29,23,84,136
Nehase,12th,2010,Oromia,Jimma,Omo Nada Hospital,33,65,86,184
Ginbot,9th,2010,Oromia,Ilu Aba Bora,Metu Rural,54,99,21,174
Meskerem,1st,2011,Oromia,Lege Dadi Lege Tafo Town,Lege Dadi Lege Tafo Town,97,78,26,201
Hedar,3rd,2010,Oromia,North Shewa,Jido,30,71,13,114
Sene,10th,2009,Oromia,Bale,Gura Dhamole,43,55,28,126
Ginbot,9th,2009,Oromia,Qeleme Wellega,Jimma Horo,78,36,92,206
Tir,5th,2011,Oromia,South West Shewa,Goro,35,71,18,124
Hedar,3rd,2010,Oromia,West Shewa,Jeldu,73,10,12,95
Nehase,12th,2009,Oromia,West Arsi,Adaba,53,23,7,83
Nehase,12th,2009,Oromia,Borena,Yabelo Rural,12,2,45,59
Hamle,11th,2010,Oromia,Guji,Saba Boru,56,44,3,103
Megabit,7th,2010,Oromia,East Hararge,Aweday Town,17,57,54,128
Megabit,7th,2009,Oromia,East Hararge,Goro Gutu,81,31,23,135
Tahesas,4th,2011,Oromia,South West Shewa,Dawo,44,29,5,78
Ginbot,9th,2010,Oromia,East Hararge,Haromaya Hospital,12,74,27,113
Sene,10th,2011,Oromia,West Hararge,Chiro Zuriya,22,20,19,61
Meskerem,1st,2011,Oromia,Buno Bedele,Boricha,98,41,97,236
Sene,10th,2011,Oromia,East Hararge,Kumbi,49,62,85,196
Miyazia,8th,2010,Oromia,West Shewa,Jeldu,0,28,50,78
Hamle,11th,2009,Oromia,Jimma,Mana,25,35,70,130
Tir,5th,2010,Oromia,East Wellega,Kiremu,26,50,27,103
Yekatit,6th,2009,Oromia,North Shewa,Kimbibit,47,53,97,197
Tahesas,4th,2011,Oromia,North Shewa,Fichetown,87,82,77,246
Tir,5th,2010,Oromia,Jimma,Gomma,5,91,46,142
Megabit,7th,2011,Oromia,Bale,Delo Mena,64,74,89,227
Sene,10th,2011,Oromia,West Wellega,Ayira,58,84,24,166
Meskerem,1st,2010,Oromia,East Hararge,Goro Gutu,46,23,86,155
Miyazia,8th,2010,Oromia,Qeleme Wellega,Gawo Qebe,75,57,45,177
Ginbot,9th,2010,Oromia,Arsi,Digeluna Tijo,92,51,5,148
Teqemt,2nd,2011,Oromia,Bale,Meda Welabu,15,95,42,152
Ginbot,9th,2009,Oromia,Borena,El Way,62,27,59,148
Ginbot,9th,2011,Oromia,West Arsi,Kofele,16,23,20,59
Sene,10th,2009,Oromia,West Arsi,Kofele,74,74,23,171
Tir,5th,2010,Oromia,West Arsi,Kore,32,28,3,63
Megabit,7th,2011,Oromia,Borena,Teltele,78,84,60,222
Hamle,11th,2010,Oromia,North Shewa,Degem,62,1,36,99
Tir,5th,2009,Oromia,East Hararge,Melka Belo,82,45,53,180
Nehase,12th,2010,Oromia,West Guji,Hanbala,76,6,26,108
Meskerem,1st,2011,Oromia,Ilu Aba Bora,Metu Town,67,41,66,174
Sene,10th,2011,Oromia,Bale,Dawe Qachen,44,18,73,135
Miyazia,8th,2009,Oromia,Guji,Goro Dola,74,88,51,213
Tir,5th,2011,Oromia,East Shewa,Dugda,16,39,37,92
Yekatit,6th,2011,Oromia,Qeleme Wellega,Sedan Chanka,61,58,3,122
Miyazia,8th,2011,Oromia,Qeleme Wellega,Anfilo,32,42,30,104
Nehase,12th,2009,Oromia,South West Shewa,St.Luke Hospital,64,45,46,155
Ginbot,9th,2011,Oromia,West Guji,Suro Barguda,23,25,71,119
Yekatit,6th,2009,Oromia,Jimma,Limu Kosa,13,78,99,190
Nehase,12th,2010,Oromia,West Hararge,Gemechis,13,1,12,26
Teqemt,2nd,2010,Oromia,West Arsi,Siraro,52,26,15,93
Nehase,12th,2010,Oromia,North Shewa,Kuyu Hospital,39,7,5,51
Ginbot,9th,2011,Oromia,Bale,Berbere,77,26,40,143
Tahesas,4th,2011,Oromia,South West Shewa,Dawo,6,62,44,112
Teqemt,2nd,2010,Oromia,Guji,Odo Shakiso,80,68,50,198
Tahesas,4th,2011,Oromia,Adama Special Town,Adama Town,4,1,48,53
Nehase,12th,2010,Oromia,West Wellega,Ayira,56,18,97,171
Nehase,12th,2010,Oromia,Qeleme Wellega,Gawo Qebe,1,8,55,64
Sene,10th,2009,Oromia,West Shewa,Ambo Town,7,93,18,118
Sene,10th,2009,Oromia,West Wellega,Gimbi Adventist Hospital,55,70,54,179
Miyazia,8th,2010,Oromia,Ilu Aba Bora,Ale,69,46,31,146
Ginbot,9th,2009,Oromia,East Hararge,Haromaya Rural,6,10,27,43
Nehase,12th,2009,Oromia,Qeleme Wellega,Yemalogi Wolel,77,55,51,183
Hedar,3rd,2010,Oromia,Bale,Gasera,38,93,90,221
Teqemt,2nd,2010,Oromia,West Wellega,Nejo Rural,98,56,38,192
Yekatit,6th,2011,Oromia,Borena,El Way,8,27,12,47
Hamle,11th,2010,Oromia,West Wellega,Mene Sibu,20,15,34,69
Ginbot,9th,2009,Oromia,West Arsi,Kofele,8,44,99,151
Yekatit,6th,2010,Oromia,Buno Bedele,Boricha,38,87,32,157
Hamle,11th,2009,Oromia,Arsi,Robe,7,56,29,92
Ginbot,9th,2011,Oromia,Arsi,Gololcha,85,97,10,192
Miyazia,8th,2009,Oromia,East Wellega,Gobu Seyo,93,8,77,178
Hedar,3rd,2011,Oromia,West Shewa,Gojo Hospital,1,52,91,144
Tir,5th,2009,Oromia,West Shewa,Liban Jawi,57,30,45,132
Hamle,11th,2009,Oromia,Arsi,Limuna Bilbilo,10,84,80,174
Teqemt,2nd,2010,Oromia,East Wellega,Nunu Qumba,67,53,52,172
Hedar,3rd,2010,Oromia,Ilu Aba Bora,Yayu,52,3,65,120
Yekatit,6th,2010,Oromia,Finfine Zuria,Sandefa,46,93,18,157
Megabit,7th,2010,Oromia,Ilu Aba Bora,Becho,80,94,70,244
Tahesas,4th,2010,Oromia,West Wellega,Mendi Hospital,69,68,7,144
